course_id,name,credits,category,sub_category
31017041,國文－中國語言文字名作選讀,3,一般通識,中文通識
31031011,國文,3,一般通識,中文通識
31031021,國文,3,一般通識,中文通識
31033011,國文,3,一般通識,中文通識
32001021,大學英文（一）,3,一般通識,外文通識
32001041,大學英文（一）,3,一般通識,外文通識
32001061,大學英文（一）,3,一般通識,外文通識
32001201,大學英文（一）,3,一般通識,外文通識
32001211,大學英文（一）,3,一般通識,外文通識
32001291,大學英文（一）,3,一般通識,外文通識
32001401,大學英文（一）,3,一般通識,外文通識
32001431,大學英文（一）,3,一般通識,外文通識
32001471,大學英文（一）,3,一般通識,外文通識
32001491,大學英文（一）,3,一般通識,外文通識
32001501,大學英文（一）,3,一般通識,外文通識
32001631,大學英文（一）,3,一般通識,外文通識
32001641,大學英文（一）,3,一般通識,外文通識
32001671,大學英文（一）,3,一般通識,外文通識
32001681,大學英文（一）,3,一般通識,外文通識
32001691,大學英文（一）,3,一般通識,外文通識
32001801,大學英文（一）,3,一般通識,外文通識
32001821,大學英文（一）,3,一般通識,外文通識
32001881,大學英文（一）,3,一般通識,外文通識
32001901,大學英文（一）,3,一般通識,外文通識
32001011,大學英文（一）,3,一般通識,外文通識
32001031,大學英文（一）,3,一般通識,外文通識
32001081,大學英文（一）,3,一般通識,外文通識
32001091,大學英文（一）,3,一般通識,外文通識
32001241,大學英文（一）,3,一般通識,外文通識
32001301,大學英文（一）,3,一般通識,外文通識
32001451,大學英文（一）,3,一般通識,外文通識
32001461,大學英文（一）,3,一般通識,外文通識
32001511,大學英文（一）,3,一般通識,外文通識
32001521,大學英文（一）,3,一般通識,外文通識
32001601,大學英文（一）,3,一般通識,外文通識
32001701,大學英文（一）,3,一般通識,外文通識
32001711,大學英文（一）,3,一般通識,外文通識
32001921,大學英文（一）,3,一般通識,外文通識
32001051,大學英文（一）,3,一般通識,外文通識
32001071,大學英文（一）,3,一般通識,外文通識
32001101,大學英文（一）,3,一般通識,外文通識
32001221,大學英文（一）,3,一般通識,外文通識
32001231,大學英文（一）,3,一般通識,外文通識
32001251,大學英文（一）,3,一般通識,外文通識
32001261,大學英文（一）,3,一般通識,外文通識
32001271,大學英文（一）,3,一般通識,外文通識
32001281,大學英文（一）,3,一般通識,外文通識
32001411,大學英文（一）,3,一般通識,外文通識
32001421,大學英文（一）,3,一般通識,外文通識
32001441,大學英文（一）,3,一般通識,外文通識
32001481,大學英文（一）,3,一般通識,外文通識
32001611,大學英文（一）,3,一般通識,外文通識
32001621,大學英文（一）,3,一般通識,外文通識
32001651,大學英文（一）,3,一般通識,外文通識
32001661,大學英文（一）,3,一般通識,外文通識
32001811,大學英文（一）,3,一般通識,外文通識
32001831,大學英文（一）,3,一般通識,外文通識
32001911,大學英文（一）,3,一般通識,外文通識
32001931,大學英文（一）,3,一般通識,外文通識
32001941,大學英文（一）,3,一般通識,外文通識
41025011,台灣電影史：藝術、文化、社會與政治,2,一般通識,人文通識
41097001,轉型期與近代東亞: 從1930年代到1940年代,2,一般通識,人文通識
41100031,生命價值與哲學思惟,3,核心通識,人文通識
41116001,語言與文化：以美式英文為例,3,一般通識,人文通識
41173001,台灣閩南話與台灣文化,3,一般通識,人文通識
